station_id,start_date,end_date,elevation,ycoord,xcoord,name
00355,19470101,19891031,140,49.6789,8.6276,Bensheim
00917,19950801,20240311,162,49.8809,8.6779,Darmstadt
00918,19871001,19950731,122,49.8453,8.624,Darmstadt
00919,19370203,19740731,169,49.8697,8.6796,Darmstadt-Botanischer
00920,19490101,19870930,108,49.8564,8.5929,Darmstadt
01619,19560101,20051231,90,49.7622,8.4887,Gernsheim
02080,19350101,20120912,110,49.4206,8.6676,Heidelberg
02083,19490101,19581231,110,49.4192,8.6051,Heidelberg-Grenzhof
03007,19470101,19551231,96,49.4111,8.398,Limburgerhof
03076,19470101,19561231,95,49.4606,8.4246,Ludwigshafen-Mundenheim
05692,19360101,20240311,88,49.6051,8.3659,Worms
05906,19360101,20240311,98,49.5063,8.5584,Mannheim
